x,count1,count2,count3,count4,count5,avg,std,xx
0,36,32,33,47,33,36.2,6.220932406,0
0.2,47,46,52,42,38,45,5.291502622,0.1
0.4,49,51,44,46,38,45.6,5.029910536,0.2
0.6,39,43,49,46,50,45.4,4.50555213,0.3
0.8,71,55,57,61,58,60.4,6.308724118,0.4
1,64,66,71,82,80,72.6,8.111719916,0.5
1.2,84,84,99,102,101,94,9.192388155,0.6
1.4,103,102,93,83,93,94.8,8.136338243,0.7
1.6,94,105,81,121,129,106,19.5192213,0.8
1.8,136,121,127,141,142,133.4,9.126883367,0.9
2,174,162,177,170,166,169.8,6.016643583,1
2.2,154,168,160,154,150,157.2,7.014271167,1.1
2.4,124,127,137,122,125,127,5.873670062,1.2
2.6,135,127,122,129,109,124.4,9.787747443,1.3
2.8,159,150,162,166,162,159.8,6.016643583,1.4
3,238,212,218,228,226,224.4,9.939818912,1.5
3.2,238,259,227,236,265,245,16.20185175,1.6
3.4,257,226,244,255,232,242.8,13.70036496,1.7
3.6,228,253,216,237,238,234.4,13.6491758,1.8
3.8,174,161,145,152,154,157.2,10.98635517,1.9
4,217,200,207,226,205,211,10.41633333,2
4.2,308,313,209,291,302,284.6,43.04997096,2.1
4.4,360,384,391,388,372,379,12.84523258,2.2
4.6,400,400,359,386,390,387,16.82260384,2.3
4.8,293,312,298,293,245,288.2,25.37124356,2.4
5,191,197,180,167,206,188.2,15.15585695,2.5
5.2,222,213,244,216,236,226.2,13.31164903,2.6
5.4,341,348,346,327,360,344.4,11.9707978,2.7
5.6,476,453,441,412,424,441.2,24.99399928,2.8
5.8,425,432,403,424,449,426.6,16.56200471,2.9
6,310,265,273,298,312,291.6,21.50116276,3
6.2,159,172,169,173,189,172.4,10.80740487,3.1
6.4,187,196,210,166,165,184.8,19.4345054,3.2
6.6,258,276,247,273,300,270.8,20.09228708,3.3
6.8,452,422,421,405,423,424.6,17.00882124,3.4
7,363,375,398,371,406,382.6,18.44722201,3.5
7.2,318,285,296,262,288,289.8,20.20396001,3.6
7.4,147,145,151,155,181,155.8,14.6013698,3.7
7.6,129,111,147,145,126,131.6,14.82565344,3.8
7.8,262,284,284,298,295,284.6,14.13506279,3.9
